,Player,Nation,Pos,Squad.2,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
239,Diogo Gonçalves,pt POR,MF,FC Copenhagen,26,1997,5.9,2,11,3,27.3,1.87,0.51,0.09,0.33,1,1,1,1.9,1.1,0.1,0.1,-0.1
241,Anthony Gordon,eng ENG,FW,Newcastle Utd,22,2001,4.9,0,6,2,33.3,1.24,0.41,0.0,0.0,0,0,0,0.6,0.6,0.1,-0.6,-0.6
243,Robin Gosens,de GER,"DF,MF",Union Berlin,29,1994,4.9,1,5,1,20.0,1.02,0.2,0.2,1.0,0,0,0,0.4,0.4,0.08,0.6,0.6
245,Tiago Gouveia,pt POR,FW,Benfica,22,2001,0.3,0,1,1,100.0,2.9,2.9,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
248,Jack Grealish,eng ENG,"FW,MF",Manchester City,27,1995,5.9,0,13,5,38.5,2.21,0.85,0.0,0.0,0,0,0,1.1,1.1,0.09,-1.1,-1.1
249,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,32,1991,9.1,6,21,9,42.9,2.31,0.99,0.29,0.67,0,0,1,4.2,3.3,0.16,1.8,2.7
251,Nemanja Gudelj,rs SRB,DF,Sevilla,31,1991,6.0,2,4,3,75.0,0.67,0.5,0.5,0.67,0,0,0,0.4,0.4,0.11,1.6,1.6
253,Mattéo Guendouzi,fr FRA,MF,Lazio,24,1999,5.5,0,6,1,16.7,1.09,0.18,0.0,0.0,0,0,0,0.5,0.5,0.09,-0.5,-0.5
255,Morgan Guilavogui,gn GUI,"FW,MF",Lens,25,1998,0.8,0,3,1,33.3,3.86,1.29,0.0,0.0,0,0,0,0.6,0.6,0.19,-0.6,-0.6
256,Bruno Guimarães,br BRA,MF,Newcastle Utd,25,1997,6.0,0,3,3,100.0,0.5,0.5,0.0,0.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3
